coddis,ano,turmas,pfx,matr,semestre,unidade
0410113,2018,4,041,245,1,IB
0410113,2019,4,041,249,1,IB
0410113,2020,4,041,266,1,IB
0410117,2013,2,041,119,1,IB
0410117,2014,2,041,123,1,IB
0410117,2015,2,041,133,1,IB
0410117,2016,2,041,121,1,IB
0410117,2017,2,041,122,1,IB
0410117,2018,2,041,123,1,IB
0410117,2019,2,041,102,1,IB
0410117,2020,2,041,125,1,IB
0410301,2012,4,041,49,2,IB
0410301,2013,4,041,30,2,IB
0410301,2014,4,041,89,2,IB
0410301,2015,4,041,90,2,IB
0410301,2016,4,041,98,1,IB
0410301,2017,4,041,50,2,IB
0410301,2018,4,041,50,2,IB
0410301,2019,4,041,68,2,IB
0410301,2020,4,041,105,2,IB
0410400,2012,6,041,32,1,IB
0410400,2014,2,041,23,2,IB
0410400,2017,2,041,30,1,IB
0410400,2019,2,041,34,2,IB
0410401,2013,2,041,17,1,IB
0410401,2015,2,041,17,1,IB
0410401,2017,2,041,6,1,IB
0410401,2019,2,041,10,1,IB
0410402,2012,1,041,14,1,IB
0410402,2014,1,041,15,1,IB
0410402,2016,1,041,12,1,IB
0410402,2018,1,041,7,2,IB
0410403,2013,1,041,17,1,IB
0410403,2015,1,041,24,1,IB
0410403,2017,1,041,18,1,IB
0410403,2019,1,041,10,1,IB
0410404,2019,1,041,12,2,IB
0410405,2017,1,041,36,1,IB
0410405,2018,1,041,18,1,IB
0410511,2012,7,041,14,ambos,IB
0410511,2013,5,041,6,ambos,IB
0410513,2012,10,041,94,ambos,IB
0410513,2013,10,041,80,ambos,IB
0410513,2014,10,041,89,ambos,IB
0410513,2015,10,041,96,ambos,IB
0410513,2016,10,041,108,ambos,IB
0410513,2017,10,041,116,ambos,IB
0410513,2018,10,041,104,ambos,IB
0410513,2019,6,041,93,ambos,IB
0410513,2020,2,041,97,ambos,IB
0410514,2014,2,041,46,2,IB
0410514,2015,2,041,62,2,IB
0410514,2016,2,041,58,2,IB
0410514,2017,2,041,67,2,IB
0410514,2018,2,041,73,2,IB
0410514,2019,2,041,66,2,IB
0410514,2020,2,041,89,2,IB
0410515,2012,2,041,53,2,IB
0410515,2013,2,041,55,2,IB
0410517,2014,2,041,43,1,IB
0410517,2015,2,041,49,1,IB
0410517,2016,2,041,50,1,IB
0410517,2017,2,041,85,1,IB
0410517,2018,2,041,78,1,IB
0410517,2019,2,041,69,1,IB
0410517,2020,2,041,66,1,IB
0411200,2017,4,041,76,ambos,IB
0411200,2018,4,041,60,ambos,IB
0411201,2012,1,041,67,1,IB
0411201,2013,2,041,69,1,IB
0411201,2014,2,041,63,1,IB
0411201,2015,2,041,79,1,IB
0411201,2016,2,041,93,1,IB
0411202,2012,2,041,55,2,IB
0411202,2013,2,041,46,2,IB
0411202,2014,2,041,90,2,IB
0411202,2015,2,041,65,2,IB
0411202,2016,2,041,87,2,IB
0411203,2012,1,041,66,1,IB
0411203,2013,2,041,52,1,IB
0411203,2014,2,041,58,1,IB
0411203,2015,2,041,81,1,IB
0411203,2016,2,041,72,1,IB
0411204,2012,2,041,62,2,IB
0411204,2013,2,041,51,2,IB
0411204,2014,2,041,59,2,IB
0411204,2015,2,041,81,2,IB
0411204,2016,2,041,77,2,IB
0411206,2012,6,041,123,2,IB
0411206,2013,2,041,124,2,IB
0411206,2014,2,041,113,2,IB
0411206,2015,2,041,127,2,IB
0411206,2016,2,041,119,2,IB
0411206,2017,2,041,120,2,IB
0411206,2018,2,041,113,2,IB
0411206,2019,2,041,110,2,IB
0411206,2020,4,041,278,2,IB
0420100,2012,1,042,80,2,ICB
0420100,2013,1,042,81,2,ICB
0420100,2014,1,042,70,2,ICB
0420102,2012,1,042,5,1,ICB
0420102,2013,1,042,1,1,ICB
0420102,2014,1,042,3,1,ICB
0420102,2015,1,042,3,1,ICB
0420102,2016,1,042,1,1,ICB
0420102,2017,1,042,1,1,ICB
0420102,2018,1,042,3,1,ICB
0420102,2019,1,042,3,1,ICB
0420102,2020,1,042,3,1,ICB
0420103,2012,1,042,4,2,ICB
0420103,2013,1,042,2,2,ICB
0420103,2014,1,042,3,2,ICB
0420103,2015,1,042,2,2,ICB
0420103,2016,1,042,1,2,ICB
0420103,2017,1,042,1,2,ICB
0420103,2018,1,042,2,2,ICB
0420103,2019,1,042,2,2,ICB
0420103,2020,1,042,4,2,ICB
0420104,2012,1,042,1,1,ICB
0420104,2013,1,042,4,1,ICB
0420104,2014,1,042,2,1,ICB
0420104,2015,1,042,3,1,ICB
0420104,2016,1,042,2,1,ICB
0420104,2017,1,042,1,1,ICB
0420104,2018,1,042,1,1,ICB
0420104,2019,1,042,7,1,ICB
0420104,2020,1,042,1,1,ICB
0420105,2013,1,042,5,2,ICB
0420105,2014,1,042,2,2,ICB
0420105,2015,1,042,3,2,ICB
0420105,2016,1,042,3,2,ICB
0420105,2018,1,042,9,2,ICB
0420105,2019,1,042,1,2,ICB
